,Carlyle,Burke,p values Carlyle,p values Burke
Bringing,42,60,0.5743582884421773,0.6617796842863989
Cogitation,42,73,0.829013962155538,0.8664154585340098
Foreign_or_domestic_country,14,79,0.00036612768220634084,0.005512379121009325
Retaining,11,18,0.9879885372776017,0.9906442928792187
Motion_directional,30,5,3.893932169707348e-06,0.00032303317759796446
Assistance,41,54,0.39182208990058653,0.5047884775174861
Categorization,18,121,1.935015642717808e-06,0.00020925366166435477
Predicament,15,9,0.04855784020852805,0.12446044192504346
Measure_duration,118,57,1.6887835574408427e-10,6.526250208027662e-07
Grasp,57,80,0.46374318292275774,0.5682111461949304
Cause_to_fragment,9,8,0.30835279578673336,0.42752166828620863
Process_end,24,19,0.05401767913379385,0.1334391594239216
Change_of_leadership,92,148,0.8849212586630714,0.9102438058112822
Destroying,14,91,4.637511842919828e-05,0.001511079503043855
Removing,24,59,0.18980358299507327,0.30713821723112533
Finish_competition,27,16,0.007557766501553931,0.03747308035835373
Part_whole,13,143,2.2164412527558852e-09,3.183760691194415e-06
Intentionally_create,48,136,0.009976635443046833,0.04475935093197159
Rescuing,9,5,0.10626303678761151,0.20836521120750018
Legal_rulings,15,20,0.6235610932397022,0.7022499198532162
Criminal_investigation,6,5,0.3649259276094843,0.4803834777753825
People_by_age,9,5,0.10626303678761151,0.20836521120750018
Cure,7,18,0.42713768937483687,0.5362370545043049
Expressing_publicly,6,15,0.49322454976984476,0.5935596858953276
Religious_belief,9,3,0.03578072823326994,0.10200653016123717
Sign,4,10,0.5758514909027489,0.6630168580341677
Process_continue,50,45,0.018323939724310012,0.06615106988322261
Seeking,21,19,0.12922053779119103,0.23731942044755172
Defending,6,28,0.05632946216992163,0.1371500695912653
Conquering,14,16,0.42721646830080084,0.5363065145765216
Successful_action,7,13,0.840843898664305,0.8757087024065866
Weapon,14,7,0.031099754499411936,0.09312881653556704
Wealthiness,38,39,0.09786918176578319,0.19730427946002727
Abounding_with,18,11,0.03313615513695212,0.09704261314676088
Separating,11,29,0.2910015457060472,0.41082225770668535
Imposing_obligation,5,22,0.10373373888479254,0.20506200947722564
Means,40,57,0.5772368111186968,0.664164114598718
Cause_change,34,69,0.43278321155002186,0.5412073840205415
Getting,65,108,0.9680724116042747,0.9751294157446205
Wearing,14,4,0.005726740604028113,0.03139045200938917
Rewards_and_punishments,7,16,0.5675608453369826,0.6561401291830742
Reasoning,13,46,0.04933461041124454,0.12575740311221972
Linguistic_meaning,11,8,0.15319811930542004,0.2659215637448158
Purpose,43,183,4.585120899847084e-06,0.00035755301107653903
Clothing,18,6,0.0029875617894441486,0.020748711305277112
Food,15,4,0.0034811571162089994,0.0228651207187478
Judgment,28,58,0.4324917871889882,0.5409511770653668
Relative_time,24,53,0.346641510770451,0.4635409624472464
Membership,14,50,0.0386424956356034,0.10724138821498108
Deciding,9,12,0.7038121678993333,0.7671409226063428
Organization,49,126,0.03564193432891882,0.10174914592027207
Duration_description,21,24,0.3308500149636132,0.44881513068229073
Abandonment,11,34,0.14607164658832805,0.257571714636024
Thriving,15,9,0.04855784020852805,0.12446044192504346
Have_associated,17,4,0.0012767165220275434,0.012110068197388024
Have_as_requirement,12,14,0.48606183649085877,0.5874316504346114
Discussion,23,52,0.31750732123434233,0.43623307845558057
Remainder,7,5,0.24611246947765697,0.36632067039073146
Locative_relation,44,17,1.249622437315967e-05,0.0006670942046602679
Roadways,50,6,3.4966829431937185e-10,1.0212345159521519e-06
Exchange,4,11,0.4844620414232138,0.5860603409430787
Subjective_influence,13,43,0.07650888814195733,0.16769411587020744
Level_of_force_exertion,9,21,0.4891748686457609,0.5900973279287997
Ingestion,18,3,0.00034851091432686054,0.005344175417668073
Locale,34,33,0.08363803429452987,0.17783853204656963
Telling,22,69,0.03496900713596918,0.10049644202836205
Remembering_experience,12,6,0.04594726786077641,0.12005034882089727
Architectural_part,12,1,0.0013710335690911846,0.012668042905049748
Conduct,7,41,0.00897411197793041,0.04182461278537164
Choosing,11,61,0.0019065782923800567,0.015606725803289367
Project,9,46,0.009816501289001356,0.04429777765530274
Manipulation,16,5,0.0041564199904223775,0.02559380979452408
Placing,23,50,0.38465367671784456,0.4983247230203933
Referring_by_name,6,15,0.49322454976984476,0.5935596858953276
Moving_in_place,12,1,0.0013710335690911846,0.012668042905049748
Causation,55,202,1.9746632583417245e-05,0.0008870976204758962
Praiseworthiness,3,17,0.09764389970132159,0.19700340861599486
Medical_conditions,13,14,0.37967469411434784,0.4938181388599553
Attention,6,20,0.2230933335418669,0.3426451399227006
Change_posture,11,3,0.012951868339404093,0.05291628603582155
Fear,17,42,0.26347202097569655,0.38377134650903033
Identicality,37,117,0.005546266642288189,0.03075598787936118
Possibility,18,21,0.3935815086498714,0.5063706069352861
Being_necessary,19,84,0.0014242448448960054,0.012976682421611763
Hiding_objects,12,12,0.3291177335116223,0.44718903783882347
Locale_by_use,13,15,0.45534192054475786,0.5609242568725838
Reveal_secret,16,52,0.05618455155910462,0.1369189420394794
Money,9,14,0.9147763578248325,0.933570648181521
Commerce_pay,4,7,0.9399546670803246,0.9532141017189922
Contrition,9,6,0.1609775503957962,0.2749049207642541
Familiarity,19,28,0.7661075993913691,0.8167745058172203
Ranked_expectation,4,15,0.23597934786672448,0.3559781510205612
Activity_ongoing,22,66,0.051433299168263,0.12922834217056056
Posture,64,29,1.0925459236199586e-06,0.00014678692501435275
Social_event,8,7,0.3262948227687933,0.44453448529475736
Departing,27,18,0.01518343554235968,0.05860879495992666
Expectation,19,43,0.36198031363558325,0.4776845306547307
Building_subparts,25,8,0.0003818777439926757,0.005660254926108332
State_continue,16,34,0.5075009550710561,0.6057184709844665
Institutions,4,14,0.2833899701209559,0.40341424614085863
Deny_or_grant_permission,8,34,0.04844510485854703,0.12427164206117025
Judgment_communication,22,35,0.9180684377650075,0.9361403656446463
Being_born,16,14,0.16507672165289689,0.2795863628205827
Undergo_change,15,24,0.9431005773459356,0.9556670039826491
Memory,8,18,0.5618917876595546,0.6514270225780595
Expansion,15,14,0.22101243747652033,0.3404720440538862
Sounds,14,3,0.0027700231054783586,0.019776519463349573
Taking_sides,11,78,9.638091473318511e-05,0.002387162051759595
Judicial_body,7,17,0.4933169429614266,0.5936386091757482
Resolve_problem,15,18,0.47189431329716824,0.5752534833779899
Sole_instance,4,50,0.00028375515561418485,0.004696845357981427
Preventing_or_letting,9,61,0.0006974601360386634,0.008269243740658072
System,7,111,1.8407767421457777e-08,1.1744479348485548e-05
Needing,17,12,0.0675145513325347,0.15445037908884307
Aiming,5,9,0.9009038217308293,0.922736944113802
Vehicle,14,7,0.031099754499411936,0.09312881653556704
Cause_change_of_strength,1,16,0.03244443137467967,0.09572251591882197
Scrutiny,14,31,0.46798426346833555,0.571878651654653
Activity_start,27,20,0.0280569293572438,0.08711502228049117
Change_position_on_a_scale,15,32,0.5143756837142384,0.6115481062340318
Seeking_to_achieve,6,5,0.3649259276094843,0.4803834777753825
Activity_stop,14,9,0.071282380833246,0.16006355064912792
Differentiation,5,15,0.3530966716910311,0.4695116982338303
Filling,18,15,0.11658492080005511,0.22160029651318514
Being_at_risk,10,81,3.240614514399276e-05,0.0012081603733655744
Sensation,24,1,2.1479192571227657e-06,0.00022325838191583625
Make_noise,34,2,3.114187030472948e-08,1.6247806218117056e-05
Supply,20,71,0.014289265902625137,0.056365270096697784
Regard,7,75,1.6592775940571514e-05,0.0007959398835162279
Cause_to_start,3,18,0.08002209711827435,0.1727293369117474
Commerce_sell,11,12,0.4320554133718155,0.5405674636542139
Cause_expansion,8,12,0.8704566001772105,0.8989248097315005
Progression,11,14,0.6115916064165587,0.6924585208135698
Reparation,4,14,0.2833899701209559,0.40341424614085863
Make_acquaintance,10,2,0.010193538700770999,0.045380439303399966
Process,6,8,0.7562451833428178,0.8089519433782931
Commerce_buy,6,8,0.7562451833428178,0.8089519433782931
Interior_profile_relation,32,43,0.4891716180432283,0.5900945463308878
Connecting_architecture,13,6,0.029628783723693708,0.09024773690252996
Revenge,8,10,0.6443888964532559,0.7192123992734807
Mental_property,8,12,0.8704566001772105,0.8989248097315005
Fire_burning,13,3,0.004639766595475048,0.027450215353610474
Dispersal,7,11,0.9378323734586621,0.951559163675374
Partitive,6,5,0.3649259276094843,0.4803834777753825
Activity_finish,7,16,0.5675608453369826,0.6561401291830742
Typicality,8,14,0.9151632518441595,0.933872671171603
Dead_or_alive,20,5,0.0005880165563214579,0.0074262979058811185
Dimension,10,1,0.0041214958386480705,0.025456771799062472
Instance,11,66,0.0008021172789361986,0.009031030026013576
Cause_change_of_position_on_a_scale,5,28,0.03455796016057833,0.09972726546952759
Cause_emotion,4,13,0.33967848711964943,0.4570691594843651
Evoking,4,7,0.9399546670803246,0.9532141017189922
Being_in_category,6,8,0.7562451833428178,0.8089519433782931
Being_questionable,10,2,0.010193538700770999,0.045380439303399966
Omen,9,8,0.30835279578673336,0.42752166828620863
Catastrophe,13,58,0.007653100590280459,0.03777452397356418
Committing_crime,5,16,0.29819493431119914,0.41777627739927936
Attaching,5,10,0.780277882288482,0.827993393546983
Quitting,10,5,0.06845825279220064,0.15586557035553206
Terrorism,4,15,0.23597934786672448,0.3559781510205612
Color,18,2,0.0001435296106184758,0.00306312266687514
Bearing_arms,9,11,0.5982135749710293,0.6814752477421855
Arrest,11,2,0.005971770366628104,0.032240630840126405
Execution,12,2,0.0035000336003313537,0.02294384023873497
Traversing,11,9,0.20956713630654555,0.3284141340336678
Process_stop,11,6,0.07059428088741626,0.1590457351466027
Amalgamation,4,11,0.4844620414232138,0.5860603409430787
Documents,6,19,0.2628950414035732,0.38319648326557665
Suitability,6,10,0.9865356351346652,0.9895125899863011
Being_in_control,3,10,0.38896316305650946,0.5022140093040524
Communication,6,23,0.13467256874559874,0.24395507531537797
Indicating,10,8,0.2191752015126237,0.3385486050053359
Fame,3,13,0.21593526142906994,0.33514550249994246
Using,13,100,5.575197221774353e-06,0.00040375370732936844
Inspecting,8,12,0.8704566001772105,0.8989248097315005
Contingency,7,30,0.062182084528163206,0.14632933260062497
Concessive,6,7,0.6223229670781045,0.7012386016169248
Hindering,11,13,0.519766449641746,0.6161082183219901
Prison,14,5,0.010822953923628975,0.04715709210937424
Sending,13,24,0.7950490524247472,0.839663866115092
Gizmo,4,15,0.23597934786672448,0.3559781510205612
Colonization,14,14,0.2918442841080442,0.41163927915389065
Justifying,2,14,0.10012386300806808,0.2003036020551756
Make_agreement_on_action,2,16,0.06578464168697828,0.15183942272140483
Adopt_selection,4,20,0.09264567157826253,0.190270656813058
Trial,10,7,0.15754358622973463,0.2709558567878325
Part_inner_outer,8,4,0.10318033673323912,0.20433593988817034
Being_attached,3,12,0.2629989206340617,0.38330000673545117
Becoming_a_member,5,13,0.4907234859934769,0.5914220626730865
Quitting_a_place,11,7,0.10689648978553246,0.20918862788550763
Deserving,5,15,0.3530966716910311,0.4695116982338303
Assessing,8,26,0.1769223000454967,0.29292595736902693
Create_physical_artwork,4,10,0.5758514909027489,0.6630168580341677
Be_subset_of,5,7,0.8256556052002144,0.8637750879830592
People_by_jurisdiction,9,29,0.15795471564931796,0.27142999681858926
Chaos,5,6,0.6778886637735495,0.7463109848951832
Attack,4,28,0.020054561176998553,0.07011530992993475
Cause_to_continue,2,16,0.06578464168697828,0.15183942272140483
Partiality,3,12,0.2629989206340617,0.38330000673545117
Luck,3,9,0.4719621982780815,0.5753120223255808
Avoiding,12,22,0.81504683592352,0.8554277982046248
Objective_influence,8,100,2.8490935877201196e-07,6.383840024393184e-05
Evidence,16,59,0.020613642787709163,0.07137054683086053
Feigning,4,7,0.9399546670803246,0.9532141017189922
Taking,7,14,0.7413498782012015,0.7971137536571812
Travel,7,5,0.24611246947765697,0.36632067039073146
Willingness,4,15,0.23597934786672448,0.3559781510205612
Cause_to_end,6,8,0.7562451833428178,0.8089519433782931
Completeness,5,15,0.3530966716910311,0.4695116982338303
Rejuvenation,4,20,0.09264567157826253,0.190270656813058
Event,8,34,0.04844510485854703,0.12427164206117025
Judgment_direct_address,6,10,0.9865356351346652,0.9895125899863011
Protecting,1,66,1.3587273959281276e-06,0.00016803878778470782
Beat_opponent,4,10,0.5758514909027489,0.6630168580341677
Suasion,3,12,0.2629989206340617,0.38330000673545117
Be_in_agreement_on_action,3,19,0.06557489184000775,0.1515213433457232
Prohibiting_or_licensing,5,11,0.6717698311710663,0.7413772438791495
Reason,5,28,0.03455796016057833,0.09972726546952759
Robbery,1,16,0.03244443137467967,0.09572251591882197
Limiting,1,10,0.12178002153290746,0.22812357055804466
Verdict,7,10,0.818643224613834,0.8582586856630013
Suspicion,7,4,0.16250634731389235,0.27665496614042007
Attempt_suasion,3,14,0.17717714402935858,0.2932100024668898
Commerce_scenario,2,12,0.1529109821763026,0.26558741857900936
Contacting,3,8,0.5713940284504178,0.6593219065033928
Topic,2,36,0.0011143093139110993,0.011112743818395443
Quarreling,4,16,0.19618674454732365,0.31407658809519545
People_by_origin,4,7,0.9399546670803246,0.9532141017189922
Dominate_situation,3,11,0.32003324344405226,0.43862525211838366
Legality,1,15,0.04025742093336304,0.11013809678662989
Alliance,1,14,0.05003025251453108,0.1269131961645693
Cause_to_perceive,6,5,0.3649259276094843,0.4803834777753825
Giving_in,3,20,0.05373407056331747,0.13298035241263428
Repel,2,10,0.2344107337878104,0.3543662070469511
Reliance,3,18,0.08002209711827435,0.1727293369117474
Improvement_or_decline,5,12,0.575408721012439,0.6626500689977259
Fields,10,15,0.8553258402135524,0.8870702607253422
Daring,1,14,0.05003025251453108,0.1269131961645693
Communicate_categorization,5,30,0.023823702695644045,0.07836490405940322
Preference,1,10,0.12178002153290746,0.22812357055804466
Abusing,0,20,0.005994850000819674,0.03232006667705545
Preserving,0,31,0.0006232007639618287,0.00770310689698428
Change_event_time,0,13,0.026721707568105213,0.0844068896941681
People_by_residence,0,14,0.02149390217611602,0.0733234908195104
Store,0,11,0.041548130599856514,0.11242546170817103
Trust,0,14,0.02149390217611602,0.0733234908195104
Medical_intervention,0,12,0.03328402330842284,0.0973235988089417
