,Burke,Paine,p values Burke,p values Paine
Improvement_or_decline,12,13,0.9064369257981255,0.9070746686938095
Rejuvenation,20,7,0.0717790580008727,0.07374565589029503
Process_stop,6,14,0.21222275119560974,0.21536963277138177
Inclusion,29,54,0.057084651224404426,0.05880693546911697
Trust,14,7,0.26864253389734916,0.27193403329903676
Taking,14,19,0.5554741720221247,0.5581845958942104
Commerce_scenario,12,24,0.16457557799372002,0.16748522024389867
Containing,7,8,0.8694766543347905,0.8703624573788241
Money,14,32,0.06430703143207994,0.06615420784662618
Ratification,2,9,0.1385028008407393,0.14122460856941155
Distinctiveness,11,9,0.7345177607336099,0.7362676694229205
Transition_to_state,20,32,0.2519586366394818,0.25522044438233527
Attack,28,24,0.6681110526136165,0.6702490845680099
Deciding,12,23,0.19689453276772573,0.19997820726735815
Dispersal,11,8,0.6103351668984456,0.612782435467288
Remainder,5,8,0.566778433660623,0.5694373616686919
Amassing,5,6,0.8432266603887104,0.8442863585647534
Ranked_expectation,15,13,0.7687724179340264,0.7703110756656582
Evaluative_comparison,8,8,0.9844417644311909,0.9845482834714717
Cause_change_of_strength,16,4,0.05413923372238727,0.055807628046142366
Publishing,4,16,0.05982023453821139,0.061590993594311305
Expansion,14,10,0.54635754123869,0.5491083861192991
Cause_to_make_progress,5,6,0.8432266603887104,0.8442863585647534
Quitting_a_place,7,10,0.6197733058027566,0.6221721386610656
Commerce_buy,8,16,0.256457160533343,0.2597279766974224
Attempt_suasion,14,13,0.8713966546134893,0.8722696569768444
Prohibiting_or_licensing,11,7,0.4904128715988637,0.49338808258898725
Operating_a_system,4,10,0.26289796793918874,0.26618038154979706
Justifying,14,2,0.031702138076067365,0.03288887884342384
Activity_resume,6,5,0.8180094209561863,0.8192339531925674
Feigning,7,5,0.6697099937663158,0.6718390602127884
Cause_to_perceive,5,9,0.4591190851227963,0.4621999717668812
Seeking_to_achieve,5,8,0.566778433660623,0.5694373616686919
Roadways,6,6,0.9865259592782067,0.9866182118281612
Suitability,10,12,0.7797183821538359,0.7811881952641578
Inclination,6,7,0.8577682851928023,0.8587319165218517
Separating,29,12,0.055488049923560046,0.05718134684578713
Ingestion,3,9,0.22547940781110554,0.22867207567833292
Collaboration,9,7,0.7081998259159599,0.710107225110437
Communication,23,10,0.10231750192758415,0.10468903584996647
Execution,2,16,0.020302647571650234,0.021176845533775523
Medical_intervention,12,1,0.02908706148405149,0.03020729192260574
Repel,10,5,0.3498374584049374,0.3531467056573099
Dead_or_alive,5,15,0.11763063715667177,0.12016490593780915
First_experience,2,11,0.0795054739553922,0.08158626533679414
Appointing,5,11,0.2961051328239762,0.2994246488248118
Omen,8,6,0.6909908307306651,0.6929986856194159
Member_of_military,6,8,0.7180781247806995,0.7199269379302276
Criminal_investigation,5,16,0.09279062699637408,0.09504844136658241
Chatting,5,11,0.2961051328239762,0.2994246488248118
Activity_stop,9,9,0.9834981299161666,0.9836111077528893
Relation,10,1,0.05218536220348535,0.05381698877933039
Commerce_pay,7,27,0.01615898569570695,0.016901900628758848
Come_together,4,14,0.09858787366361821,0.10091610709454923
Reforming_a_system,5,17,0.07306112685159405,0.0750472985624484
Achieving_first,3,8,0.29210472099114826,0.295421673908425
Motion_directional,5,11,0.2961051328239762,0.2994246488248118
Expensiveness,2,9,0.1385028008407393,0.14122460856941155
Communication_response,11,26,0.08541761092165523,0.08758001915477853
Ingredients,7,6,0.830257787152648,0.8314025528129801
Traversing,9,7,0.7081998259159599,0.710107225110437
People_by_origin,7,37,0.0014895281353921597,0.0016051791766017454
Building_subparts,8,30,0.012341196873248528,0.012951454146836738
Duplication,1,11,0.042214207126078374,0.04364413698994152
Terms_of_agreement,4,7,0.5315499276213482,0.5343642287739339
Information,9,18,0.22872792535018405,0.23193062924866592
Gathering_up,3,13,0.07936699149368587,0.08144581333441658
Luck,9,4,0.3165636831421842,0.3198887630987318
Chaos,6,9,0.5956041048929424,0.5981252029118793
Supporting,5,12,0.23620140214306995,0.2394254999957316
Contrition,6,6,0.9865259592782067,0.9866182118281612
Conditional_occurrence,7,12,0.4279772603652269,0.43114715328714204
Sign_agreement,5,9,0.4591190851227963,0.4621999717668812
Secrecy_status,8,7,0.8398494791606329,0.8409313870205853
Arrest,2,10,0.10485813221863105,0.10725830363221955
Importing,1,10,0.05622811900758584,0.05793491753008473
