,Carlyle,Paine,p values Carlyle,p values Paine
Desirability,67,138,0.26410467730773446,0.387466415927437
Origin,15,115,1.3758493587756604e-06,0.00018649253132640986
First_experience,5,11,0.6850076144721482,0.7535855607853185
Process_start,23,81,0.010579704165785131,0.04790060534445617
Opinion,69,99,0.44391971220821425,0.5535336155222312
Similarity,52,123,0.09423460335103329,0.19529914918272107
State_of_entity,53,82,0.7321571818962223,0.7911132964957506
Communication_manner,20,1,1.515006813312958e-05,0.0008134533513778353
Correctness,16,27,0.9788738546736534,0.9836501910542282
Sufficiency,32,41,0.3731666706647093,0.4907086988452136
Text_creation,29,90,0.019669099929941924,0.07105172591811182
Text,60,213,2.9313398122621237e-05,0.0012214280874996986
Personal_relationship,81,50,5.150521625529869e-06,0.0004190812136095623
Body_movement,21,5,0.00030784736377909017,0.005228346614946977
Body_parts,207,58,0.0,1.1102230246251565e-16
Cause_harm,18,12,0.043640439055979696,0.11844850827182496
Size,28,24,0.05346813473776435,0.13505797087331783
Facial_expression,8,4,0.09826177941878556,0.20072744282021715
Capability,82,125,0.612090060292256,0.6947426103423309
Law,78,167,0.15064520712849339,0.26602644794779096
Coming_up_with,6,32,0.029082812635347843,0.09124235637679468
Death,73,26,3.670925563525884e-09,5.0039932306678025e-06
Residence,39,69,0.8193006180478468,0.8596748574865711
Chatting,6,11,0.8841782323114185,0.9102412113502988
Self_motion,153,30,0.0,2.886579864025407e-15
Time_vector,38,79,0.3789843471316231,0.495976945775475
Proportional_quantity,5,19,0.18331331106105797,0.3031328683072485
Spatial_contact,21,4,0.00014325871578368954,0.0032541877623007975
Compliance,35,62,0.8250092133200123,0.8641376055179695
Coming_to_be,16,84,0.0004551342507478351,0.0066655918741854725
Killing,31,20,0.006487758291860102,0.03515787088383737
Leadership,298,1033,0.0,3.6332048480858248e-12
Frequency,43,104,0.10407694475873108,0.20844184096410312
Come_together,18,14,0.08237260772750465,0.17885508683915996
Social_connection,4,9,0.6936092854607343,0.7604590595651258
Give_impression,59,66,0.07508346369940233,0.16836822928380835
Transition_to_state,39,32,0.01614274173361807,0.06264610581972818
Custom,19,14,0.05896489502660629,0.1438968440027648
Being_located,35,14,0.00010208019593516138,0.0026386382060382685
Part_orientational,30,14,0.0008680807674973368,0.00996316210080117
Request,76,66,0.0017606036976063333,0.015494483700687733
Inclusion,8,54,0.0015834521703753657,0.01450007785298879
Collaboration,4,7,0.9527756284713049,0.9634455682746265
Success_or_failure,11,21,0.775783759267597,0.825548757596089
Stimulus_focus,35,20,0.0015119122864041268,0.014086959637354513
Intentionally_act,187,271,0.2381785844607468,0.36133293332234184
Military,20,23,0.33193954056976394,0.4527567985045212
Aggregate,69,123,0.730921985768106,0.790134573019287
Cause_motion,32,22,0.008848378772506438,0.04277501711156395
Experiencer_focus,63,75,0.11568970476839824,0.22344971518943146
Commitment,33,39,0.24547549585152306,0.36876549521825
Morality_evaluation,22,51,0.3068626570497769,0.42907889089543716
Earnings_and_losses,10,20,0.7121297658075021,0.7752162358181482
Reading_activity,17,25,0.7491466307876518,0.80455325332874
Inclination,4,7,0.9527756284713049,0.9634455682746265
Motion,63,43,0.00021802596115660933,0.004221113227314444
Member_of_military,7,8,0.559998562674711,0.6519539338621572
Complaining,12,6,0.04287566928594466,0.11710562761950905
Likelihood,71,123,0.845093799441512,0.8798165424250597
Simple_naming,41,61,0.6512017374869394,0.726440209996471
Receiving,22,47,0.4494600109843052,0.5583491113200004
Difficulty,16,44,0.1720629637373502,0.29059802263508416
Being_obligated,26,46,0.8520336739343662,0.8852265787518304
Manufacturing,9,14,0.8956367496461052,0.9191428701717748
Businesses,14,35,0.3095184394469582,0.4316100056440034
Attempt,50,64,0.26395824899264375,0.3873208851157992
Cardinal_numbers,59,130,0.1610398082810719,0.27807530649745016
Experiencer_obj,9,31,0.12220279263239753,0.23165772070376
Desirable_event,13,89,4.545029028280023e-05,0.0016007492605846219
Perception_active,78,28,1.2192146181533303e-09,2.5587619899569702e-06
Hearsay,32,12,0.00013195889727068977,0.003092832589395411
Usefulness,16,38,0.3473383678869837,0.46706526214084376
Expertise,13,11,0.18102880204957517,0.3006065376151674
Building,21,36,0.9395895375670574,0.9532317764948791
Remembering_information,13,6,0.027429030709006597,0.08788233067364692
Social_interaction_evaluation,8,6,0.22876036059216587,0.35164342440305485
Work,24,5,6.715137714952135e-05,0.002036904229198
Accomplishment,15,24,0.918313241342519,0.9367400613662136
Creating,21,111,5.23247659708348e-05,0.0017461142431266508
Rite,25,31,0.37956202097547154,0.4964989675540382
Bringing,42,67,0.8544096604131396,0.8870779666645189
Cogitation,42,60,0.5392961288677705,0.6347399402409377
Foreign_or_domestic_country,14,38,0.21456973138429836,0.33682522065403653
Retaining,11,9,0.19986223490714972,0.32116465757581725
Motion_directional,30,11,0.0001865642330903805,0.0038325025943029
Assistance,41,40,0.05294571147384208,0.13420245780770024
Categorization,18,78,0.0027465031717828214,0.020471853709328025
Predicament,15,10,0.06551279711805824,0.1540754974321974
Measure_duration,118,106,0.00019725247995583395,0.0039671092898301286
Grasp,57,114,0.3783346597524291,0.4953896133981883
Cause_to_fragment,9,5,0.10095368061097154,0.20431615190767904
Process_end,24,22,0.10289465332895653,0.2068847981702847
Change_of_leadership,92,198,0.11070815394932276,0.21707314968324865
Destroying,14,32,0.43648834897651734,0.5470527502453173
Removing,24,41,0.9439844097937924,0.95663650905389
Finish_competition,27,3,2.57160234462539e-06,0.000273639059531372
Part_whole,13,156,2.577388302782424e-10,9.9479563020477e-07
Intentionally_create,48,265,1.609681277159325e-10,7.473564141990963e-07
Rescuing,9,2,0.01621504634011628,0.06282457803823593
Legal_rulings,15,12,0.12437846224959825,0.23436874252637463
Criminal_investigation,6,16,0.435115908284058,0.5458530769650425
People_by_age,9,9,0.3845477181593161,0.5009962603104061
Cure,7,11,0.9209002270203961,0.9387461653135896
Expressing_publicly,6,14,0.585850689153194,0.6732777673302559
Religious_belief,9,3,0.03358510937337833,0.1000723386444402
Sign,4,14,0.2909354242011245,0.4137742116950489
Process_continue,50,87,0.854313498612489,0.8870030446705052
Seeking,21,13,0.020560787887410115,0.07309069806666302
Defending,6,17,0.37296869517516484,0.4905290637854196
Conquering,14,23,0.9697630366553688,0.9765980555204387
Successful_action,7,15,0.665661764850646,0.7380779150223111
Weapon,14,2,0.0010727006995476795,0.011369121268435367
Wealthiness,38,57,0.6854203387891805,0.7539156597326171
Abounding_with,18,2,0.00012330110045333242,0.0029656419778905097
Separating,11,12,0.4164611142954374,0.5294576307454816
Imposing_obligation,5,18,0.2180885170061675,0.3405252526412439
Means,40,39,0.05567252879454987,0.13863750968644606
Cause_change,34,79,0.2006353401192209,0.3219960475757938
Getting,65,86,0.2617122060175353,0.385085798603367
Wearing,14,4,0.005187293521357161,0.030532262991575965
Rewards_and_punishments,7,18,0.4397799920658859,0.5499264878111637
Reasoning,13,67,0.0019404358309114134,0.016466838649608184
Linguistic_meaning,11,11,0.3363908052543584,0.45691011253505986
Purpose,43,223,1.396607551829021e-08,1.1291994006401573e-05
Clothing,18,0,1.453219010383311e-05,0.0007928747779359924
Food,15,3,0.0014712737068313109,0.013849070249169482
Judgment,28,38,0.5096165499805885,0.6098261514910256
Relative_time,24,52,0.4024723157902357,0.5170491104653321
Membership,14,71,0.0015703805549247551,0.014425116983862507
Deciding,9,23,0.3884104740317196,0.5044707808271092
Organization,49,419,0.0,1.5587531265737198e-13
Duration_description,21,24,0.3127278068405773,0.4346610546873194
Abandonment,11,11,0.3363908052543584,0.45691011253505986
Thriving,15,2,0.0006240784819980805,0.00811185626018418
Have_associated,17,7,0.007546757792497694,0.038680522009912566
Have_as_requirement,12,19,0.9092290802790972,0.9296934692932344
Discussion,23,59,0.16393548448002193,0.2813892977802873
Remainder,7,8,0.559998562674711,0.6519539338621572
Locative_relation,44,11,2.5326065988817703e-07,6.619906929938857e-05
Roadways,50,6,2.337942062169418e-10,9.375702559877297e-07
Exchange,4,12,0.41557340927494746,0.5286731878674149
Subjective_influence,13,17,0.5989231405080584,0.6839929262752131
Level_of_force_exertion,9,4,0.061219282312896084,0.14744171101419978
Ingestion,18,9,0.013137895044379788,0.054956154912241595
Locale,34,32,0.06201602582805976,0.1486841104075337
Telling,22,46,0.4916804634009859,0.5946236600926924
Remembering_experience,12,12,0.31534631518128264,0.43714426614044144
Architectural_part,12,3,0.0070970889836377005,0.037208042296057675
Conduct,7,30,0.0654132157142715,0.15392330015656053
Choosing,11,31,0.23288045689988868,0.3558958929633155
Project,9,53,0.003163092486210939,0.022369053507059866
Manipulation,16,2,0.0003632814747612789,0.005794428259614626
Placing,23,48,0.4858403766545789,0.589648170522201
Referring_by_name,6,36,0.014143993006256683,0.0575942126868243
Moving_in_place,12,1,0.001231723053008893,0.01239374914509317
Causation,55,152,0.010490969682678042,0.047645579779500125
Medical_conditions,13,7,0.044149850786471934,0.119338575641049
Attention,6,16,0.435115908284058,0.5458530769650425
Change_posture,11,7,0.10104774330749211,0.2044409942626939
Fear,17,27,0.8982416375092337,0.9211655285024407
Identicality,37,176,1.6701143051855993e-06,0.0002100124365330691
Possibility,18,52,0.10844591332247477,0.2141475191909712
Being_necessary,19,126,1.6552331367769568e-06,0.00020886355219018604
Vocalizations,8,3,0.05595488779579316,0.13909255488373817
Hiding_objects,12,5,0.0256109672760223,0.08410648702270507
Locale_by_use,13,25,0.7437138391784084,0.8002598431880112
Reveal_secret,16,48,0.10347193402434485,0.20764576836454363
Money,9,32,0.10475853670128388,0.20933691481723404
Commerce_pay,4,27,0.025502396084054912,0.08387811073938378
Contrition,9,6,0.15369298897784,0.269584793396879
Familiarity,19,36,0.7242802377361467,0.7848680657733333
Waiting,8,5,0.15597648092557448,0.2722367228143897
Ranked_expectation,4,13,0.3481143952083203,0.46778198146347805
Activity_ongoing,22,54,0.22548711925420273,0.3482494158475048
Posture,64,22,2.134743859460997e-08,1.4624948682429029e-05
Social_event,8,13,0.9618516044531068,0.970473311452532
Departing,27,14,0.0029682134674389182,0.02149372311130382
Expectation,19,40,0.5097107911190006,0.6099057271641779
Building_subparts,25,30,0.33245532462561356,0.4532387929030448
State_continue,16,24,0.7926668333663907,0.8388122503691746
Institutions,4,7,0.9527756284713049,0.9634455682746265
Participation,2,15,0.08348184081764598,0.18042390163965294
Deny_or_grant_permission,8,34,0.05125484060122665,0.1314138771007345
Judgment_communication,22,27,0.39469743808149316,0.5101078918460442
Being_born,16,23,0.7157095485467768,0.7780622345302731
Undergo_change,15,17,0.38399782029706586,0.5005009374467464
Memory,8,15,0.8340381565171835,0.8711901846308185
Expansion,15,10,0.06551279711805824,0.1540754974321974
Sounds,14,0,0.0001314666652080243,0.0030856875473200818
Taking_sides,11,79,9.170873197328344e-05,0.002469505078125822
Judicial_body,7,29,0.07742358130364935,0.17176976659577003
Resolve_problem,15,13,0.16352837464048398,0.2809244524888532
Sole_instance,4,55,0.0001180670241898163,0.002887109146662903
Preventing_or_letting,9,54,0.0026556670631265877,0.020044514981868877
System,7,237,0.0,8.395728556820359e-12
Needing,17,12,0.0625676621014275,0.14954119958797318
Vehicle,14,33,0.39029301681426376,0.5061610496872475
Importing,1,10,0.1242497573680782,0.23420878355540387
Scrutiny,14,42,0.1277366403133272,0.2385243243067442
Activity_start,27,59,0.3584031735080182,0.47724649689110155
Change_position_on_a_scale,15,31,0.5911120621156696,0.6775956226092261
Seeking_to_achieve,6,8,0.741264386293878,0.7983227797010299
Activity_stop,14,9,0.0665534694173936,0.15566148413255865
Differentiation,5,18,0.2180885170061675,0.3405252526412439
Filling,18,15,0.10870916656035223,0.21448895837218673
Being_at_risk,10,55,0.0036423592229050117,0.02444191609077162
Sensation,24,3,1.2612438629155953e-05,0.0007266864841788401
Make_noise,34,8,4.107813480924705e-06,0.00036474007695352917
Supply,20,30,0.7688539502039239,0.8200951231518511
Regard,7,39,0.013719757883689176,0.05649022511669932
Cause_to_start,3,16,0.12279120729783122,0.2323924036127185
Commerce_sell,11,14,0.5929341258582588,0.679089278972912
Progression,11,28,0.3451686794838721,0.46505921870470635
Reparation,4,7,0.9527756284713049,0.9634455682746265
Make_acquaintance,10,7,0.15001398104121622,0.2652867399937394
Commerce_buy,6,16,0.435115908284058,0.5458530769650425
Interior_profile_relation,32,50,0.8165444136032864,0.857519099754828
Connecting_architecture,13,1,0.0007066001574171921,0.008763979792909216
Revenge,8,18,0.5774276548472753,0.6663501272513386
Mental_property,8,18,0.5774276548472753,0.6663501272513386
Fire_burning,13,1,0.0007066001574171921,0.008763979792909216
Dispersal,7,8,0.559998562674711,0.6519539338621572
Activity_finish,7,21,0.2814865222842129,0.40458820899553316
Typicality,8,6,0.22876036059216587,0.35164342440305485
Dead_or_alive,20,15,0.05704149790390656,0.14083661501987044
Dimension,10,5,0.06453151795413681,0.1525723766920497
Instance,11,120,5.494661514671151e-08,2.6033862810193042e-05
Activity_pause,4,7,0.9527756284713049,0.9634455682746265
Cause_change_of_position_on_a_scale,5,27,0.043604265721798874,0.1183851711360171
Evoking,4,10,0.5869925238685556,0.6742154466408132
Being_in_category,6,24,0.11822677292947126,0.22666386364126734
Being_questionable,10,1,0.0037712096243601723,0.0249818547381363
Omen,9,6,0.15369298897784,0.269584793396879
Catastrophe,13,16,0.5166036619433507,0.6157176509179675
Committing_crime,5,14,0.42751043695891955,0.5391889894343342
Attaching,5,8,0.9527830292676941,0.9634512996116721
Quitting,10,3,0.02006755538239169,0.07196676624040133
Color,18,0,1.453219010383311e-05,0.0007928747779359924
Scouring,8,4,0.09826177941878556,0.20072744282021715
Bearing_arms,9,3,0.03358510937337833,0.1000723386444402
Arrest,11,10,0.2637821408584704,0.3871458268145188
Execution,12,16,0.6405397779668413,0.7178322123059908
Traversing,11,7,0.10104774330749211,0.2044409942626939
Explaining_the_facts,2,13,0.1268688106332886,0.2374537315602805
Process_stop,11,14,0.5929341258582588,0.679089278972912
Amalgamation,4,8,0.8154707216907644,0.8566791225194051
Documents,6,20,0.23090499362015604,0.3538596607946669
Suitability,6,12,0.7750128870611459,0.8249423771894651
Being_in_control,3,15,0.14952942034537675,0.264718257036219
Encoding,2,9,0.2962422017735422,0.4188979330955418
Communication,6,10,0.9977290669088935,0.9982425756669717
Indicating,10,2,0.009412505211900402,0.04448156477090348
Using,13,121,1.5239518347254233e-07,4.853367006563136e-05
Gesture,9,2,0.01621504634011628,0.06282457803823593
Inspecting,8,14,0.9332536527424766,0.9483223131723081
Contingency,7,22,0.24123598828821402,0.36445488970437023
Quantity,3,20,0.055744492376162746,0.13875355810844536
Hindering,11,12,0.4164611142954374,0.5294576307454816
Conditional_occurrence,2,12,0.15660627982803177,0.2729660538262124
Prison,14,13,0.2216319862967937,0.3442338878744564
Sending,13,28,0.5475111805791291,0.6415861086124366
Gizmo,4,9,0.6936092854607343,0.7604590595651258
Colonization,14,6,0.01740560379593059,0.06572419681312158
Make_agreement_on_action,2,20,0.02971281166111217,0.09250487139878971
Adopt_selection,4,21,0.07961400843802058,0.17492339304038884
Trial,10,7,0.15001398104121622,0.2652867399937394
Part_inner_outer,8,4,0.09826177941878556,0.20072744282021715
Supporting,1,12,0.079518997039832,0.17478719447464053
Becoming_a_member,5,10,0.7941538417906626,0.8399789503924442
Quitting_a_place,11,10,0.2637821408584704,0.3871458268145188
Deserving,5,15,0.36270686968971344,0.48118496598887583
Assessing,8,15,0.8340381565171835,0.8711901846308185
Appointing,5,11,0.6850076144721482,0.7535855607853185
People_by_jurisdiction,9,80,2.4980376043703956e-05,0.0011067809533799045
Chaos,5,9,0.9151777372183646,0.9343082418657455
Attack,4,24,0.04514036362543594,0.1210593599102674
Partiality,3,9,0.48077735646785125,0.5853241991785894
Avoiding,12,17,0.7299634260852271,0.789374893213773
Objective_influence,8,61,0.00044782890253447505,0.006598882591995814
Evidence,16,87,0.00027761631479217286,0.004903506772599209
Taking,7,19,0.3801670932774418,0.49704553817997466
Travel,7,4,0.15597636781349378,0.2722365917459193
Sign_agreement,2,9,0.2962422017735422,0.4188979330955418
Willingness,4,8,0.8154707216907644,0.8566791225194051
Cause_to_end,6,9,0.8721236543490424,0.9008683296764419
Rejuvenation,4,7,0.9527756284713049,0.9634455682746265
Operating_a_system,5,10,0.7941538417906626,0.8399789503924442
Event,8,79,1.6541150078097644e-05,0.0008586437153477178
Judgment_direct_address,6,6,0.47771493132744003,0.5827039739983739
Protecting,1,54,1.57081063587583e-05,0.0008317646581286198
Beat_opponent,4,9,0.6936092854607343,0.7604590595651258
Be_in_agreement_on_action,3,17,0.10080977751578812,0.2041250881690354
Prohibiting_or_licensing,5,7,0.8116452290057744,0.8536854509169931
Reason,5,29,0.030193211036549594,0.09346139261679476
Expensiveness,5,9,0.9151777372183646,0.9343082418657455
Limiting,1,10,0.1242497573680782,0.23420878355540387
Verdict,7,18,0.4397799920658859,0.5499264878111637
Suspicion,7,4,0.15597636781349378,0.2722365917459193
Attempt_suasion,3,13,0.22147687151962214,0.3440719017712953
Commerce_scenario,2,24,0.013145588110403783,0.05497659276541089
Contacting,3,9,0.48077735646785125,0.5853241991785894
Topic,2,27,0.007167065854536414,0.037439347352669294
Quarreling,4,13,0.3481143952083203,0.46778198146347805
People_by_origin,4,37,0.0037542631874832866,0.024911230480827662
Containing,3,8,0.5810349078838325,0.6693192669472436
Gathering_up,2,13,0.1268688106332886,0.2374537315602805
Cause_to_perceive,6,9,0.8721236543490424,0.9008683296764419
Improvement_or_decline,5,13,0.5022537122162314,0.6035994520238384
Fields,10,8,0.20959807179251333,0.3315673948392186
Communicate_categorization,5,25,0.0628041376845655,0.14990784849944172
Reforming_a_system,4,17,0.16808244699444663,0.2861047177430939
Appellations,1,11,0.09926860909755553,0.20207333697412722
Abusing,0,21,0.0050377002238655155,0.02997457226547584
Information,0,18,0.00941604778263061,0.04449216383554222
Publishing,0,16,0.014362492209421873,0.05815823375660523
Duplication,0,11,0.042373825114969677,0.11622001078860433
