,Carlyle,Mill,p values Carlyle,p values Mill
Judgment_communication,22,10,0.02292059141414937,0.05037906848408069
Being_born,16,7,0.046759685291596687,0.08717891351426477
Undergo_change,15,17,0.7060199617450682,0.7455814691731704
Memory,8,4,0.1997267803490027,0.2700041688086452
Expansion,15,3,0.007934575135587818,0.0223904257352322
Sounds,14,0,0.0009750639289919372,0.004559711160013191
Taking_sides,11,76,1.918498984665451e-05,0.0002363480895312131
Judicial_body,7,6,0.5314108758021074,0.5903315241680491
Resolve_problem,15,12,0.29919689800888405,0.3718482785617626
Sole_instance,4,65,2.889471774625285e-06,5.711138286224049e-05
Preventing_or_letting,9,100,4.100428907527487e-08,2.365068025200756e-06
System,7,53,0.0002468020823132022,0.0016155242091283606
Needing,17,33,0.3552024269644617,0.4264457284749352
Aiming,5,8,0.822172308108244,0.8467003569185225
Vehicle,14,2,0.005805247775482081,0.01764822455638826
Scrutiny,14,25,0.5255390640184289,0.5850128054650297
Activity_start,27,17,0.05535695114765149,0.09931433396591283
Change_position_on_a_scale,15,27,0.498408573089283,0.5603324180729707
Seeking_to_achieve,6,7,0.8410497256567449,0.8630344597873225
Activity_stop,14,8,0.12893166298316627,0.19153318957086962
Differentiation,5,9,0.6958979505152875,0.7367059725197217
Filling,18,5,0.008589766940194421,0.023786591998191886
Being_at_risk,10,30,0.08916964241077363,0.14369932426378185
Sensation,24,7,0.002890861739050732,0.010388764274771534
Make_noise,34,0,2.762384776477944e-07,9.846490124365559e-06
Supply,20,33,0.592774990232605,0.6454816488032415
Regard,7,107,2.562334899813834e-09,2.9825407299455264e-07
Commerce_sell,11,19,0.6225956938176942,0.6720282921949503
Cause_expansion,8,6,0.40167563702703923,0.4706716990014288
Progression,11,33,0.0746255099916393,0.12514806232608144
Process,6,8,0.9848663999326547,0.9869819641912378
Commerce_buy,6,5,0.5410226215561715,0.5990212575400218
Capital_stock,2,9,0.2156625699626572,0.2868558637461872
Interior_profile_relation,32,31,0.3143091714086511,0.3867394525033836
Connecting_architecture,13,4,0.031861867967760804,0.06487823103122359
Revenge,8,7,0.5209912328430089,0.5808879278626156
Mental_property,8,11,0.9775349884505764,0.9806750665042745
Fire_burning,13,1,0.00387955605737611,0.01298931865461217
Partitive,6,6,0.6913733836409064,0.732734633561575
Activity_finish,7,4,0.28299293145580373,0.35573538167851304
Typicality,8,10,0.9007008963652257,0.9145259444280461
Dead_or_alive,20,3,0.001085183283374147,0.004944197712546061
Dimension,10,3,0.05720225365726839,0.1018637596280153
Instance,11,97,2.5505696066296935e-07,9.276003704594693e-06
Cause_change_of_position_on_a_scale,5,23,0.04531271336619935,0.08509039702483678
Evoking,4,8,0.6253044800363324,0.6744323489856086
Being_in_category,6,11,0.6474724338081843,0.6940636605514673
Being_questionable,10,2,0.030183897830149964,0.0622352791837516
Catastrophe,13,16,0.8492957955358101,0.8701629501446162
Committing_crime,5,11,0.4891373829193537,0.5518566443281647
Quitting,10,3,0.05720225365726839,0.1018637596280153
Color,18,4,0.004712447212424475,0.015058885289758406
Bearing_arms,9,6,0.29938480007474766,0.37203421687236804
Arrest,11,1,0.009045281263003413,0.024742645387210604
Execution,12,8,0.23080234795105747,0.3026506171740464
Traversing,11,3,0.0386279413571875,0.07524109979761384
Process_stop,11,9,0.392327245734979,0.4618439750169754
Documents,6,10,0.7578398352430283,0.7908446753039869
Suitability,6,20,0.1283137626383346,0.19081553885903013
Being_in_control,3,52,2.4870872223914375e-05,0.0002872322802349725
Communication,6,5,0.5410226215561715,0.5990212575400218
Indicating,10,10,0.6082910260840824,0.6593130046086595
Using,13,116,1.5902033689840778e-08,1.165480348785941e-06
Inspecting,8,10,0.9007008963652257,0.9145259444280461
Contingency,7,48,0.0007017711075144595,0.003555747941994425
Concessive,6,8,0.9848663999326547,0.9869819641912378
Hindering,11,24,0.3140257689363539,0.3864613460495777
Conditional_occurrence,2,17,0.03244001972270272,0.06578161778473424
Prison,14,2,0.005805247775482081,0.01764822455638826
Sending,13,5,0.053363773490319066,0.09653981122575739
Gizmo,4,13,0.22970877697765524,0.30151632850850896
Colonization,14,6,0.0595548618754318,0.10508844828399455
Justifying,2,14,0.06550883082003178,0.11313014632812779
Adopt_selection,4,19,0.06453157389026065,0.11182136982987523
Trial,10,6,0.22052534616101394,0.29195086910811796
Part_inner_outer,8,7,0.5209912328430089,0.5808879278626156
Quitting_a_place,11,1,0.009045281263003413,0.024742645387210604
Deserving,5,13,0.33728795110581344,0.4091510047735345
Assessing,8,20,0.257485280011581,0.33003424253422964
Appointing,5,23,0.04531271336619935,0.08509039702483678
People_by_jurisdiction,9,28,0.0895390652991771,0.14416181020109797
Attack,4,11,0.346231923347341,0.4178040908287566
Cause_to_continue,2,11,0.1334434462608275,0.19675255109526812
Craft,3,9,0.3518454802593388,0.42321611067824416
Avoiding,12,13,0.6747313364714264,0.7181054303201507
Objective_influence,8,97,4.132711461934946e-08,2.3789687741970766e-06
Evidence,16,70,0.0006693207097742127,0.003430766006488395
Feigning,4,8,0.6253044800363324,0.6744323489856086
Travel,7,4,0.28299293145580373,0.35573538167851304
Willingness,4,24,0.02193249519109175,0.048705039576888765
Cause_to_end,6,7,0.8410497256567449,0.8630344597873225
Completeness,5,21,0.06852790268284048,0.11714733220694828
Rejuvenation,4,7,0.753947555877625,0.7874542172884229
Operating_a_system,5,7,0.9635675121577993,0.9686581570111715
Event,8,24,0.12842500471613372,0.19094479069845993
Protecting,1,58,1.5136895061829136e-06,3.5182340099804144e-05
Suasion,3,9,0.3518454802593388,0.42321611067824416
Prohibiting_or_licensing,5,7,0.9635675121577993,0.9686581570111715
Reason,5,35,0.0035901488765037737,0.012246326428293486
Expensiveness,5,11,0.4891373829193537,0.5518566443281647
Limiting,1,11,0.06931608284921265,0.11818980057117656
Verdict,7,12,0.7039771536269152,0.7437912016069916
Topic,2,37,0.00034173878102250477,0.0020650657152886387
Quarreling,4,12,0.28235491898993337,0.35509769733991703
People_by_origin,4,14,0.1865095138117796,0.25583298798205034
Legality,1,17,0.016159671004664866,0.03854463346669179
Practice,1,18,0.012747590331690817,0.032151399816728876
Cause_to_perceive,6,6,0.6913733836409064,0.732734633561575
Giving_in,3,11,0.2260764175072144,0.297741512610759
Reliance,3,27,0.006296574280690415,0.01877419656517243
Improvement_or_decline,5,49,0.00017773186437841648,0.0012613302474028254
Fields,10,15,0.846397484582804,0.8676578770659342
Communicate_categorization,5,28,0.015888430360052164,0.03804860424963241
Idiosyncrasy,3,9,0.3518454802593388,0.42321611067824416
Preference,1,12,0.054108980344088065,0.09757973529369257
Candidness,1,13,0.04233703527320176,0.0807485869535296
Cause_to_make_progress,1,15,0.02607234045286899,0.055614304009864446
Appellations,1,11,0.06931608284921265,0.11818980057117656
Abusing,0,14,0.014686287912885732,0.03582623699734655
Examination,0,16,0.009094125194010871,0.0248444886493423
Trust,0,17,0.0071714643158222735,0.020729861844959396
Enforcing,0,18,0.005662213062531785,0.017316293200116628
Stage_of_progress,0,15,0.01154796231475852,0.029813313774510575
Competition,0,13,0.01870965755146725,0.043120083388011876
Terms_of_agreement,0,13,0.01870965755146725,0.043120083388011876
